C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 124, col 26, Warning - ValueSet https://build.fhir.org/valueset-encounter-status.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 34476, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 34216, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 34357, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 34386, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 34415, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 34444, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 34473, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 34858, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 34858, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 34598, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 34739, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 34768, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 34797, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 34826, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 34855, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 0, col 0, Warning - Binding https://build.fhir.org/valueset-encounter-status.html could not be located (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 0, col 0, Warning - Binding https://build.fhir.org/valueset-encounter-location-status.html could not be located (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 1, col 129320, Warning - value should not start or finish with whitespace 'planned | in-progress | on-hold | discharged | completed | cancelled | discontinued |\r\nentered-in-error | unknown ' (INVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 1, col 136296, Warning - value should not start or finish with whitespace 'The current status of the subject in relation to the Encounter.\r\narrived | triaged | receiving-care | on-leave | departed ' (INVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 1, col 202180, Warning - value should not start or finish with whitespace 'planned | in-progress | on-hold | discharged | completed | cancelled | discontinued |\r\nentered-in-error | unknown ' (INVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 1, col 203558, Warning - value should not start or finish with whitespace 'The current status of the subject in relation to the Encounter.\r\narrived | triaged | receiving-care | on-leave | departed ' (INVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 0, col 0, Warning - Binding https://build.fhir.org/valueset-encounter-status.html could not be located (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 0, col 0, Warning - Binding https://build.fhir.org/valueset-encounter-location-status.html could not be located (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 0, col 0, Warning - The valueSet reference https://build.fhir.org/valueset-encounter-status.html on element Encounter.status could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 0, col 0, Warning - The valueSet reference https://terminology.hl7.org/5.2.0/ValueSet-encounter-class.html on element Encounter.class could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 0, col 0, Warning - The valueSet reference https://terminology.hl7.org/5.2.0/ValueSet-v3-ActPriority.html on element Encounter.priority could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 0, col 0, Warning - The valueSet reference https://terminology.hl7.org/5.2.0/CodeSystem-service-type.html on element Encounter.serviceType could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 0, col 0, Warning - The valueSet reference https://build.fhir.org/valueset-encounter-subject-status.html on element Encounter.subjectStatus could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 0, col 0, Warning - The valueSet reference https://build.fhir.org/valueset-encounter-participant-type.html on element Encounter.participant.type could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 0, col 0, Warning - The valueSet reference https://build.fhir.org/valueset-encounter-reason-use.html on element Encounter.reason.use could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 0, col 0, Warning - The valueSet reference https://build.fhir.org/valueset-encounter-reason.html on element Encounter.reason.value could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 0, col 0, Warning - The valueSet reference https://build.fhir.org/valueset-condition-code.html on element Encounter.diagnosis.condition could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 0, col 0, Warning - The valueSet reference https://build.fhir.org/valueset-encounter-diagnosis-use.html on element Encounter.diagnosis.use could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 0, col 0, Warning - The valueSet reference https://build.fhir.org/valueset-encounter-admit-source.html on element Encounter.admission.admitSource could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 0, col 0, Warning - The valueSet reference https://terminology.hl7.org/5.2.0/ValueSet-v2-0092.html on element Encounter.admission.reAdmission could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 0, col 0, Warning - The valueSet reference https://build.fhir.org/valueset-encounter-discharge-disposition.html on element Encounter.admission.dischargeDisposition could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 0, col 0, Warning - The valueSet reference https://build.fhir.org/valueset-encounter-location-status.html on element Encounter.location.status could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 0, col 0, Warning - The valueSet reference https://build.fhir.org/valueset-encounter-status.html on element Encounter.status could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 0, col 0, Warning - The valueSet reference https://terminology.hl7.org/5.2.0/ValueSet-encounter-class.html on element Encounter.class could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 0, col 0, Warning - The valueSet reference https://terminology.hl7.org/5.2.0/ValueSet-v3-ActPriority.html on element Encounter.priority could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 0, col 0, Warning - The valueSet reference https://terminology.hl7.org/5.2.0/CodeSystem-service-type.html on element Encounter.serviceType could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 0, col 0, Warning - The valueSet reference https://build.fhir.org/valueset-encounter-subject-status.html on element Encounter.subjectStatus could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 0, col 0, Warning - The valueSet reference https://build.fhir.org/valueset-encounter-participant-type.html on element Encounter.participant.type could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 0, col 0, Warning - The valueSet reference https://build.fhir.org/valueset-encounter-reason-use.html on element Encounter.reason.use could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 0, col 0, Warning - The valueSet reference https://build.fhir.org/valueset-encounter-reason.html on element Encounter.reason.value could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 0, col 0, Warning - The valueSet reference https://build.fhir.org/valueset-condition-code.html on element Encounter.diagnosis.condition could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 0, col 0, Warning - The valueSet reference https://build.fhir.org/valueset-encounter-diagnosis-use.html on element Encounter.diagnosis.use could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 0, col 0, Warning - The valueSet reference https://build.fhir.org/valueset-encounter-admit-source.html on element Encounter.admission.admitSource could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 0, col 0, Warning - The valueSet reference https://terminology.hl7.org/5.2.0/ValueSet-v2-0092.html on element Encounter.admission.reAdmission could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 0, col 0, Warning - The valueSet reference https://build.fhir.org/valueset-encounter-discharge-disposition.html on element Encounter.admission.dischargeDisposition could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-encounter-profile.json: line 0, col 0, Warning - The valueSet reference https://build.fhir.org/valueset-encounter-location-status.html on element Encounter.location.status could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-organization-profile.json: line 0, col 0, Warning - The valueSet reference https://molic-avc.gabriellesantosleandro.com/ValueSet/molicavc-code_healthunit-valueset/ on element Organization.qualification.code could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-organization-profile.json: line 0, col 0, Warning - The valueSet reference https://molic-avc.gabriellesantosleandro.com/ValueSet/molicavc-code_healthunit-valueset/ on element Organization.qualification.code could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-practitioner-profile.json: line 0, col 0, Warning - The valueSet reference http://molic-avc.gabriellesantosleandro.com/ValueSet/molicavc-professionalcode-valueset on element Practitioner.qualification.code could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-practitioner-profile.json: line 0, col 0, Warning - The valueSet reference http://molic-avc.gabriellesantosleandro.com/ValueSet/molicavc-professionalcode-valueset on element Practitioner.qualification.code could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-questionnaire-profile.json: line 0, col 0, Warning - Binding https://www.hl7.org/fhir/valueset-resource-types.html could not be located (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-questionnaire-profile.json: line 0, col 0, Warning - Binding https://www.hl7.org/fhir/valueset-item-type.html could not be located (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-questionnaire-profile.json: line 1, col 203140, Warning - value should not start or finish with whitespace 'A short label for a particular group, question or set of display text within the \r\nquestionnaire used for reference by the individual completing the questionnaire. E.g. '1(a)', '2.5.3' ' (INVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-questionnaire-profile.json: line 1, col 216537, Warning - value should not start or finish with whitespace 'Specifies the criteria by which the question is enabled. E.g.: exists | = | != | > | < | >= | <= ' (INVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-questionnaire-profile.json: line 1, col 254096, Warning - value should not start or finish with whitespace 'A short label for a particular group, question or set of display text within the \r\nquestionnaire used for reference by the individual completing the questionnaire. E.g. '1(a)', '2.5.3' ' (INVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-questionnaire-profile.json: line 1, col 255469, Warning - value should not start or finish with whitespace 'Specifies the criteria by which the question is enabled. E.g.: exists | = | != | > | < | >= | <= ' (INVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-questionnaire-profile.json: line 0, col 0, Warning - Binding https://www.hl7.org/fhir/valueset-resource-types.html could not be located (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-questionnaire-profile.json: line 0, col 0, Warning - Binding https://www.hl7.org/fhir/valueset-item-type.html could not be located (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-questionnaire-profile.json: line 0, col 0, Warning - The valueSet reference https://www.hl7.org/fhir/valueset-resource-types.html on element Questionnaire.subjectType could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-questionnaire-profile.json: line 0, col 0, Warning - The valueSet reference https://www.hl7.org/fhir/valueset-questionnaire-questions.html on element Questionnaire.code could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-questionnaire-profile.json: line 0, col 0, Warning - The valueSet reference https://www.hl7.org/fhir/valueset-item-type.html on element Questionnaire.item.type could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-questionnaire-profile.json: line 0, col 0, Warning - The valueSet reference https://www.hl7.org/fhir/valueset-resource-types.html on element Questionnaire.subjectType could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-questionnaire-profile.json: line 0, col 0, Warning - The valueSet reference https://www.hl7.org/fhir/valueset-questionnaire-questions.html on element Questionnaire.code could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\StructureDefinition-molicavc-questionnaire-profile.json: line 0, col 0, Warning - The valueSet reference https://www.hl7.org/fhir/valueset-item-type.html on element Questionnaire.item.type could not be resolved (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-live-alone-pre-stroke.json: line 0, col 0, Warning - The code '1' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-live-alone-pre-stroke.json: line 0, col 0, Info - Error parsing response message: com.google.gson.stream.MalformedJsonException: Use JsonReader.setLenient(true) to accept malformed JSON at line 1 column 12 path $ (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-live-alone-pre-stroke.json: line 0, col 0, Warning - The code '2' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-live-alone-pre-stroke.json: line 0, col 0, Warning - The code '999' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-live-alone-pre-stroke.json: line 1, col 1455, Warning - The ShareableValueSet profile says that the experimental element is mandatory, but it is not present. Published value sets SHOULD conform to the ShareableValueSet profile (REQUIRED)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-live-alone-pre-stroke.json: line 0, col 0, Warning - Error from server: Unable to provide support for code system https://connect.ichom.org/patient-centered-outcome-measures/stroke (EXCEPTION)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-living-location-pre-stroke-valueset.json: line 0, col 0, Warning - The code '1' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-living-location-pre-stroke-valueset.json: line 0, col 0, Info - Error parsing response message: com.google.gson.stream.MalformedJsonException: Use JsonReader.setLenient(true) to accept malformed JSON at line 1 column 12 path $ (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-living-location-pre-stroke-valueset.json: line 0, col 0, Warning - The code '2' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-living-location-pre-stroke-valueset.json: line 0, col 0, Warning - The code '3' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-living-location-pre-stroke-valueset.json: line 0, col 0, Warning - The code '4' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-living-location-pre-stroke-valueset.json: line 0, col 0, Warning - The code '5' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-living-location-pre-stroke-valueset.json: line 0, col 0, Warning - The code '888' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-living-location-pre-stroke-valueset.json: line 0, col 0, Warning - The code '999' is not valid in the system https://connect.ichom.org/patient-centered-outcome-measures/stroke (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-living-location-pre-stroke-valueset.json: line 1, col 2015, Warning - The ShareableValueSet profile says that the experimental element is mandatory, but it is not present. Published value sets SHOULD conform to the ShareableValueSet profile (REQUIRED)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-living-location-pre-stroke-valueset.json: line 0, col 0, Warning - Error from server: Unable to provide support for code system https://connect.ichom.org/patient-centered-outcome-measures/stroke (EXCEPTION)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-code-healthcare-unit-valueset.json: line 0, col 0, Warning - The code 'UBSF' is not valid in the system https://molic-avc.gabriellesantosleandro.com/ValueSet/molicavc-code_healthunit-valueset/ (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-code-healthcare-unit-valueset.json: line 0, col 0, Info - Error parsing response message: com.google.gson.stream.MalformedJsonException: Use JsonReader.setLenient(true) to accept malformed JSON at line 1 column 12 path $ (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-code-healthcare-unit-valueset.json: line 0, col 0, Warning - The code 'STROKEHOSP' is not valid in the system https://molic-avc.gabriellesantosleandro.com/ValueSet/molicavc-code_healthunit-valueset/ (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-code-healthcare-unit-valueset.json: line 0, col 0, Warning - The code 'NONSTROKEHOSP' is not valid in the system https://molic-avc.gabriellesantosleandro.com/ValueSet/molicavc-code_healthunit-valueset/ (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-code-healthcare-unit-valueset.json: line 0, col 0, Warning - The code 'UPA' is not valid in the system https://molic-avc.gabriellesantosleandro.com/ValueSet/molicavc-code_healthunit-valueset/ (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-code-healthcare-unit-valueset.json: line 0, col 0, Warning - The code 'SAMU' is not valid in the system https://molic-avc.gabriellesantosleandro.com/ValueSet/molicavc-code_healthunit-valueset/ (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-code-healthcare-unit-valueset.json: line 0, col 0, Warning - The code 'REAB' is not valid in the system https://molic-avc.gabriellesantosleandro.com/ValueSet/molicavc-code_healthunit-valueset/ (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-code-healthcare-unit-valueset.json: line 0, col 0, Warning - The code 'OTHER' is not valid in the system https://molic-avc.gabriellesantosleandro.com/ValueSet/molicavc-code_healthunit-valueset/ (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-code-healthcare-unit-valueset.json: line 0, col 0, Warning - The code 'PRIVATE' is not valid in the system https://molic-avc.gabriellesantosleandro.com/ValueSet/molicavc-code_healthunit-valueset/ (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-code-healthcare-unit-valueset.json: line 1, col 3284, Warning - The ShareableValueSet profile says that the experimental element is mandatory, but it is not present. Published value sets SHOULD conform to the ShareableValueSet profile (REQUIRED)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-code-healthcare-unit-valueset.json: line 0, col 0, Warning - Error from server: Unable to provide support for code system https://molic-avc.gabriellesantosleandro.com/ValueSet/molicavc-code_healthunit-valueset/ (EXCEPTION)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-code-professional-valueset.json: line 0, col 0, Warning - The code 'Doctor' is not valid in the system https://molic-avc.gabriellesantosleandro.com/ValueSet/molicavc-code_professional-valueset/ (BUSINESSRULE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\ValueSet-molicavc-code-professional-valueset.json: line 0, col 0, Info - Error parsing response message: com.google.gson.stream.MalformedJsonException: Use JsonReader.setLenient(true) to accept malformed JSON at line 1 column 12 path $ (BUSINESSRULE)
